Топ 500,der,Mann,Männer,мужчина
Топ 500,der,Vater,Väter,отец
Топ 500,der,Bruder,Brüder,брат
Топ 500,der,Sohn,Söhne,сын
Топ 500,der,Onkel,Onkel,дядя
Топ 500,der,Opa,Opas,дедушка
Топ 500,der,Freund,Freunde,друг; парень
Топ 500,der,Kollege,Kollegen,коллега (м)
Топ 500,der,Arzt,Ärzte,врач (м)
Топ 500,der,Lehrer,Lehrer,учитель
Топ 500,der,Schüler,Schüler,ученик
Топ 500,der,Student,Studenten,студент
Топ 500,der,Chef,Chefs,начальник
Топ 500,der,Nachbar,Nachbarn,сосед
Топ 500,der,Tag,Tage,день
Топ 500,der,Morgen,Morgen,утро
Топ 500,der,Abend,Abende,вечер
Топ 500,der,Mittag,Mittage,полдень
Топ 500,der,Monat,Monate,месяц
Топ 500,der,Herbst,Herbste,осень
Топ 500,der,Winter,Winter,зима
Топ 500,der,Sommer,Sommer,лето
Топ 500,der,Frühling,Frühlinge,весна
Топ 500,der,Weg,Wege,дорога; путь
Топ 500,der,Zug,Züge,поезд
Топ 500,der,Bus,Busse,автобус
Топ 500,der,Bahnhof,Bahnhöfe,вокзал
Топ 500,der,Flughafen,Flughäfen,аэропорт
Топ 500,der,Strand,Strände,пляж
Топ 500,der,Park,Parks,парк
Топ 500,der,Markt,Märkte,рынок
Топ 500,der,Laden,Läden,магазин
Топ 500,der,Platz,Plätze,площадь; место
Топ 500,der,Berg,Berge,гора
Топ 500,der,Fluss,Flüsse,река
Топ 500,der,See,Seen,озеро
Топ 500,der,Wald,Wälder,лес
Топ 500,der,Garten,Gärten,сад
Топ 500,der,Baum,Bäume,дерево
Топ 500,der,Vogel,Vögel,птица
Топ 500,der,Fisch,Fische,рыба
Топ 500,der,Hund,Hunde,собака
Топ 500,der,Hase,Hasen,заяц
Топ 500,der,Bär,Bären,медведь
Топ 500,der,Löwe,Löwen,лев
Топ 500,der,Affe,Affen,обезьяна
Топ 500,der,Wolf,Wölfe,волк
Топ 500,der,Kopf,Köpfe,голова
Топ 500,der,Arm,Arme,рука (от плеча)
Топ 500,der,Finger,Finger,палец
Топ 500,der,Fuß,Füße,нога (стопа)
Топ 500,der,Rücken,Rücken,спина
Топ 500,der,Bauch,Bäuche,живот
Топ 500,der,Hals,Hälse,шея; горло
Топ 500,der,Mund,Münder,рот
Топ 500,der,Zahn,Zähne,зуб
Топ 500,der,Apfel,Äpfel,яблоко
Топ 500,der,Käse,Käse,сыр
Топ 500,der,Kuchen,Kuchen,пирог; торт
Топ 500,der,Saft,Säfte,сок
Топ 500,der,Wein,Weine,вино
Топ 500,der,Kaffee,Kaffees,кофе
Топ 500,der,Tee,Tees,чай
Топ 500,der,Zucker,,сахар
Топ 500,der,Stuhl,Stühle,стул
Топ 500,der,Tisch,Tische,стол
Топ 500,der,Schlüssel,Schlüssel,ключ
Топ 500,der,Schuh,Schuhe,ботинок; туфля
Топ 500,der,Koffer,Koffer,чемодан
Топ 500,der,Pass,Pässe,паспорт
Топ 500,der,Brief,Briefe,письмо
Топ 500,der,Beruf,Berufe,профессия
Топ 500,der,Name,Namen,имя
Топ 500,der,Regen,Regen,дождь
Топ 500,der,Wind,Winde,ветер
Топ 500,der,Schnee,,снег
Топ 500,der,Urlaub,Urlaube,отпуск
Топ 500,der,Film,Filme,фильм
Топ 500,der,Ball,Bälle,мяч
Топ 500,der,Fehler,Fehler,ошибка
Топ 500,der,Grund,Gründe,причина; основание
Топ 500,der,Anfang,Anfänge,начало
Топ 500,der,Schluss,Schlüsse,конец; вывод
Топ 500,der,Unterschied,Unterschiede,разница
Топ 500,der,Erfolg,Erfolge,успех
Топ 500,der,Schritt,Schritte,шаг
Топ 500,der,Teil,Teile,часть
Топ 500,der,Punkt,Punkte,точка; пункт
Топ 500,der,Wert,Werte,ценность; стоимость
Топ 500,der,Preis,Preise,цена; приз
Топ 500,der,Bericht,Berichte,отчёт; доклад
Топ 500,der,Satz,Sätze,предложение; фраза
Топ 500,der,Körper,Körper,тело
Топ 500,der,Gedanke,Gedanken,мысль
Топ 500,der,Traum,Träume,сон; мечта
Топ 500,der,Wunsch,Wünsche,желание
Топ 500,der,Plan,Pläne,план
Топ 500,der,Vorteil,Vorteile,преимущество
Топ 500,der,Nachteil,Nachteile,недостаток
Топ 500,der,Bereich,Bereiche,область; сфера
Топ 500,der,Stoff,Stoffe,вещество; материал
Топ 500,der,Strom,Ströme,ток; поток; электричество
Топ 500,der,Sport,,спорт
Топ 500,der,Mut,,храбрость
Топ 500,der,Rat,Ratschläge,совет
Топ 500,der,Hafen,Häfen,порт
Топ 500,der,Artikel,Artikel,статья; артикль
Топ 500,der,Ton,Töne,звук; тон
Топ 500,der,Geist,Geister,дух; разум
Топ 500,der,Sinn,Sinne,смысл; чувство
Топ 500,der,Zweck,Zwecke,цель; назначение
Топ 500,der,Kreis,Kreise,круг; округ
Топ 500,der,Strom,Ströme,электричество; поток
Топ 500,die,Frau,Frauen,женщина
Топ 500,die,Mutter,Mütter,мать
Топ 500,die,Tochter,Töchter,дочь
Топ 500,die,Schwester,Schwestern,сестра
Топ 500,die,Tante,Tanten,тётя
Топ 500,die,Oma,Omas,бабушка
Топ 500,die,Freundin,Freundinnen,подруга; девушка
Топ 500,die,Ärztin,Ärztinnen,врач (ж)
Топ 500,die,Lehrerin,Lehrerinnen,учительница
Топ 500,die,Schule,Schulen,школа
Топ 500,die,Universität,Universitäten,университет
Топ 500,die,Küche,Küchen,кухня
Топ 500,die,Stadt,Städte,город
Топ 500,die,Straße,Straßen,улица
Топ 500,die,Uhr,Uhren,часы; час (о времени)
Топ 500,die,Nacht,Nächte,ночь
Топ 500,die,Woche,Wochen,неделя
Топ 500,die,Stunde,Stunden,час (единица времени)
Топ 500,die,Minute,Minuten,минута
Топ 500,die,Sekunde,Sekunden,секунда
Топ 500,die,Zeit,Zeiten,время
Топ 500,die,Arbeit,Arbeiten,работа
Топ 500,die,Frage,Fragen,вопрос
Топ 500,die,Antwort,Antworten,ответ
Топ 500,die,Geschichte,Geschichten,история; рассказ
Топ 500,die,Sprache,Sprachen,язык
Топ 500,die,Musik,,музыка
Топ 500,die,Kunst,Künste,искусство
Топ 500,die,Natur,,природа
Топ 500,die,Welt,Welten,мир; свет
